thermal,met,userid,experimentid,responseSpeed
10.0,9.0,dorn05,dorn,10.103
11.0,9.0,dorn08,dorn,254.709
10.0,9.0,dorn02,dorn,21.329
10.0,9.0,dorn02,dorn,29.763
10.0,10.0,dorn02,dorn,20.544
10.0,8.0,dorn02,dorn,21.26
11.0,9.0,dorn05,dorn,14.039
10.0,9.0,dorn05,dorn,8.657
11.0,9.0,dorn05,dorn,20.971
10.0,8.0,dorn02,dorn,25.361
11.0,9.0,dorn05,dorn,14.956
11.0,10.0,dorn08,dorn,51.058
10.0,9.0,dorn02,dorn,12.71
10.0,8.0,dorn02,dorn,15.17
10.0,9.0,dorn05,dorn,10.383
11.0,8.0,dorn02,dorn,21.037
10.0,9.0,dorn05,dorn,1414.262
10.0,9.0,dorn05,dorn,11.718
10.0,9.0,dorn02,dorn,13.944
10.0,9.0,dorn05,dorn,8.371
10.0,8.0,dorn08,dorn,19.982
11.0,9.0,dorn05,dorn,11.449
11.0,8.0,dorn08,dorn,16.149
10.0,9.0,dorn05,dorn,8.203
11.0,11.0,dorn02,dorn,17.629
11.0,9.0,dorn02,dorn,20.935
10.0,8.0,dorn02,dorn,12.317
10.0,8.0,dorn08,dorn,41.984
10.0,8.0,dorn08,dorn,18.625
10.0,8.0,dorn02,dorn,9.732
10.0,9.0,dorn05,dorn,6.36
10.0,9.0,dorn05,dorn,6.132
10.0,9.0,dorn05,dorn,14.223
10.0,8.0,dorn02,dorn,14.176
11.0,9.0,dorn05,dorn,11.943
11.0,9.0,dorn05,dorn,8.049
10.0,10.0,dorn08,dorn,14.763
10.0,9.0,dorn05,dorn,13.28
11.0,9.0,dorn08,dorn,33.175
10.0,9.0,dorn05,dorn,6.044
10.0,9.0,dorn05,dorn,10.28
10.0,9.0,dorn05,dorn,6.767
10.0,10.0,dorn02,dorn,14.497
10.0,8.0,dorn02,dorn,16.743
10.0,9.0,dorn08,dorn,19.684
10.0,9.0,dorn05,dorn,6.082
11.0,10.0,dorn08,dorn,29.45
10.0,9.0,dorn05,dorn,7.597
10.0,8.0,dorn02,dorn,11.679
11.0,9.0,dorn05,dorn,10.227
11.0,8.0,dorn08,dorn,17.184
10.0,9.0,dorn02,dorn,16.749
11.0,8.0,dorn02,dorn,18.069
10.0,8.0,dorn08,dorn,50.936
10.0,9.0,dorn05,dorn,6.148
10.0,9.0,dorn05,dorn,6.098
10.0,9.0,dorn05,dorn,5.882
9.0,9.0,dorn05,dorn,10.277
10.0,9.0,dorn05,dorn,6.336
10.0,8.0,dorn08,dorn,18.239
11.0,10.0,dorn08,dorn,11.926
11.0,9.0,dorn05,dorn,6.219
10.0,8.0,dorn08,dorn,22.276
10.0,9.0,dorn05,dorn,6.192
10.0,9.0,dorn02,dorn,20.221
11.0,9.0,dorn08,dorn,15.709
10.0,8.0,dorn02,dorn,15.247
10.0,9.0,dorn05,dorn,4.991
11.0,9.0,dorn08,dorn,17.463
10.0,9.0,dorn05,dorn,4.962
10.0,8.0,dorn08,dorn,20.92
10.0,8.0,dorn02,dorn,28.339
10.0,9.0,dorn05,dorn,5.498
10.0,8.0,dorn02,dorn,17.327
10.0,9.0,dorn05,dorn,5.444
11.0,9.0,dorn05,dorn,7.783
11.0,9.0,dorn08,dorn,16.067
10.0,8.0,dorn02,dorn,10.688
10.0,8.0,dorn02,dorn,10.372
10.0,10.0,dorn02,dorn,14.157
11.0,8.0,dorn08,dorn,11.867
10.0,8.0,dorn08,dorn,16.402
10.0,8.0,dorn02,dorn,12.723
10.0,9.0,dorn05,dorn,17.487
10.0,9.0,dorn05,dorn,6.919
10.0,8.0,dorn08,dorn,27.353
11.0,9.0,dorn02,dorn,17.583
10.0,9.0,dorn08,dorn,20.738
11.0,9.0,dorn05,dorn,5.608
9.0,9.0,dorn05,dorn,9.524
11.0,9.0,dorn02,dorn,23.268
11.0,9.0,dorn08,dorn,18.259
10.0,8.0,dorn02,dorn,14.951
11.0,10.0,dorn08,dorn,13.305
9.0,9.0,dorn05,dorn,9.107
10.0,8.0,dorn05,dorn,11.929
,,test,dorn,0.001
9.0,9.0,test,dorn,2.469
9.0,9.0,test,dorn,14.01
10.0,8.0,dorn02,dorn,15.391
10.0,9.0,dorn02,dorn,15.645
10.0,9.0,dorn02,dorn,33.126
11.0,9.0,dorn02,dorn,19.125
9.0,9.0,dorn05,dorn,7.943
11.0,9.0,dorn08,dorn,9.298
10.0,10.0,dorn05,dorn,2042.179
10.0,9.0,dorn08,dorn,2519.795
10.0,8.0,dorn02,dorn,16.52
11.0,10.0,dorn05,dorn,14.176
11.0,9.0,dorn08,dorn,29.747
10.0,8.0,dorn02,dorn,15.028
9.0,9.0,dorn05,dorn,18.67
10.0,8.0,dorn02,dorn,14.839
10.0,9.0,dorn05,dorn,6.015
10.0,8.0,dorn08,dorn,35.527
11.0,9.0,dorn05,dorn,16.492
10.0,9.0,dorn05,dorn,6.615
10.0,8.0,dorn02,dorn,14.553
10.0,9.0,dorn02,dorn,29.046
10.0,8.0,dorn02,dorn,14.563
10.0,9.0,dorn08,dorn,21.969
10.0,8.0,dorn02,dorn,12.597
11.0,9.0,dorn999,dorn,555.218
11.0,9.0,dorn05,dorn,7.725
10.0,9.0,dorn02,dorn,12.86
11.0,9.0,dorn05,dorn,5.574
10.0,9.0,dorn05,dorn,8.434
10.0,8.0,dorn02,dorn,10.552
10.0,9.0,dorn08,dorn,5119.265
10.0,9.0,dorn05,dorn,11.263
11.0,9.0,dorn08,dorn,17.708
11.0,9.0,dorn08,dorn,9.656
10.0,9.0,dorn05,dorn,8.087
10.0,10.0,dorn05,dorn,16.329
11.0,8.0,dorn02,dorn,17.361
11.0,9.0,dorn05,dorn,11.378
11.0,9.0,dorn08,dorn,19.094
10.0,8.0,dorn02,dorn,11.041
10.0,9.0,dorn02,dorn,19.977
10.0,8.0,dorn02,dorn,11.98
10.0,9.0,dorn02,dorn,11.295
9.0,9.0,dorn05,dorn,8.086
11.0,10.0,dorn08,dorn,16.956
10.0,9.0,dorn05,dorn,11.389
10.0,9.0,dorn02,dorn,13.916
10.0,9.0,dorn02,dorn,10.614
10.0,8.0,dorn02,dorn,30.593
10.0,9.0,dorn05,dorn,8.706
10.0,9.0,dorn05,dorn,7.648
10.0,9.0,dorn05,dorn,5.17
11.0,9.0,dorn08,dorn,58846.261
10.0,8.0,dorn02,dorn,8.898
11.0,9.0,dorn08,dorn,10.884
10.0,8.0,dorn02,dorn,7.973
10.0,9.0,dorn02,dorn,14.261
10.0,9.0,dorn08,dorn,18.879
11.0,9.0,dorn05,dorn,8.342
10.0,9.0,dorn02,dorn,17.046
10.0,9.0,dorn05,dorn,9.702
10.0,9.0,dorn02,dorn,20.396
10.0,8.0,dorn02,dorn,15.102
,,dorn15,dorn,0.036
,,dorn15,dorn,0.033
10.0,9.0,dorn05,dorn,9.541
11.0,9.0,dorn15,dorn,27.585
9.0,9.0,dorn05,dorn,18.196
10.0,9.0,dorn05,dorn,5.281
11.0,9.0,dorn08,dorn,11.726
10.0,10.0,dorn15,dorn,297.693
11.0,11.0,dorn02,dorn,14.825
11.0,9.0,dorn08,dorn,9.031
10.0,9.0,dorn02,dorn,18.203
11.0,11.0,dorn15,dorn,20.468
11.0,9.0,dorn08,dorn,3549.299
10.0,9.0,dorn05,dorn,9.156
10.0,8.0,dorn02,dorn,15.084
10.0,9.0,dorn05,dorn,5.285
10.0,8.0,dorn15,dorn,272.302
10.0,9.0,dorn08,dorn,22.362
10.0,8.0,dorn02,dorn,10.495
11.0,8.0,dorn15,dorn,14.157
10.0,8.0,dorn02,dorn,13.94
10.0,8.0,dorn15,dorn,15.219
10.0,9.0,dorn05,dorn,7.845
10.0,9.0,dorn05,dorn,6.183
10.0,9.0,dorn05,dorn,7.804
11.0,10.0,dorn15,dorn,14.079
10.0,9.0,dorn02,dorn,10.881
10.0,9.0,dorn08,dorn,10.466
10.0,9.0,dorn05,dorn,7.142
10.0,9.0,dorn15,dorn,14.01
11.0,10.0,dorn15,dorn,11.716
11.0,9.0,dorn08,dorn,30.757
11.0,9.0,dorn13,dorn,656.059
9.0,9.0,dorn999,dorn,909.077
10.0,9.0,dorn02,dorn,13.338
10.0,10.0,dorn15,dorn,13.022
11.0,9.0,dorn08,dorn,9.077
11.0,9.0,dorn13,dorn,24.758
10.0,9.0,dorn15,dorn,10.894
10.0,9.0,dorn05,dorn,8.508
11.0,9.0,dorn13,dorn,44.987
11.0,9.0,dorn08,dorn,1099.289
11.0,9.0,dorn999,dorn,632.077
10.0,10.0,dorn02,dorn,12.599
10.0,9.0,dorn05,dorn,5.575
10.0,9.0,dorn15,dorn,8.852
11.0,9.0,dorn13,dorn,36.688
10.0,9.0,dorn02,dorn,19.932
11.0,10.0,dorn08,dorn,12.226
11.0,9.0,dorn13,dorn,16.961
11.0,9.0,dorn12,dorn,11.523
11.0,9.0,dorn12,dorn,8.288
11.0,9.0,dorn12,dorn,7.8
11.0,8.0,dorn13,dorn,42.918
11.0,11.0,dorn15,dorn,3698.504
10.0,10.0,dorn12,dorn,22.407
10.0,9.0,dorn05,dorn,10.695
11.0,9.0,dorn05,dorn,7.037
10.0,8.0,dorn13,dorn,20.986
10.0,10.0,dorn02,dorn,11.011
10.0,10.0,dorn02,dorn,18.711
10.0,10.0,dorn02,dorn,16.898
11.0,9.0,dorn13,dorn,26.849
10.0,9.0,dorn12,dorn,17.825
10.0,8.0,dorn02,dorn,17.56
11.0,9.0,dorn13,dorn,20.854
10.0,9.0,dorn13,dorn,14.066
10.0,8.0,dorn15,dorn,15.622
10.0,8.0,dorn02,dorn,17.597
10.0,8.0,dorn15,dorn,11.632
10.0,10.0,dorn02,dorn,15.678
11.0,10.0,dorn15,dorn,10.234
10.0,8.0,dorn13,dorn,20.483
10.0,9.0,dorn12,dorn,15.252
11.0,9.0,dorn13,dorn,14.88
10.0,9.0,dorn02,dorn,17.016
10.0,9.0,dorn15,dorn,11.138
10.0,9.0,dorn08,dorn,9.946
11.0,10.0,dorn15,dorn,11.903
10.0,8.0,dorn02,dorn,17.37
10.0,9.0,dorn12,dorn,11.378
10.0,9.0,dorn08,dorn,15.823
10.0,8.0,dorn02,dorn,12.501
10.0,10.0,dorn15,dorn,10.259
11.0,9.0,dorn13,dorn,11.671
10.0,9.0,dorn15,dorn,10.596
10.0,9.0,dorn12,dorn,10.249
11.0,10.0,dorn15,dorn,12.765
10.0,8.0,dorn08,dorn,21.687
10.0,8.0,dorn02,dorn,18.476
,,dorn999,dorn,0.048
,,dorn999,dorn,0.039
10.0,8.0,dorn13,dorn,21.943
,,dorn999,dorn,0.038
,,dorn999,dorn,0.039
,,dorn999,dorn,0.033
11.0,9.0,dorn15,dorn,14.035
10.0,9.0,dorn13,dorn,28.304
10.0,9.0,dorn08,dorn,18.602
10.0,9.0,dorn15,dorn,733.19
11.0,11.0,dorn12,dorn,15.626
11.0,9.0,dorn13,dorn,39.712
10.0,9.0,dorn15,dorn,10.721
11.0,9.0,dorn13,dorn,23.052
,,dorn999,dorn,0.03
,,dorn999,dorn,0.035
10.0,9.0,dorn05,dorn,6.801
10.0,10.0,dorn15,dorn,21.2
,,dorn999,dorn,0.034
10.0,9.0,dorn12,dorn,12.497
10.0,9.0,dorn05,dorn,10.236
11.0,11.0,dorn15,dorn,9.938
10.0,9.0,dorn13,dorn,28.603
10.0,9.0,dorn05,dorn,4.623
10.0,9.0,dorn13,dorn,12.689
10.0,9.0,dorn05,dorn,6.285
11.0,11.0,dorn15,dorn,12.861
,,dorn999,dorn,0.036
10.0,8.0,dorn08,dorn,11.999
10.0,9.0,dorn12,dorn,7.335
10.0,8.0,dorn08,dorn,13.101
10.0,8.0,dorn15,dorn,13.991
10.0,8.0,dorn15,dorn,9.847
10.0,10.0,dorn02,dorn,11.47
10.0,8.0,dorn02,dorn,11.277
10.0,8.0,dorn02,dorn,13.472
10.0,8.0,dorn15,dorn,11.58
10.0,8.0,dorn13,dorn,46127.636
10.0,9.0,dorn05,dorn,12.788
11.0,10.0,dorn15,dorn,11.943
10.0,9.0,dorn05,dorn,6.818
10.0,9.0,dorn12,dorn,15.624
10.0,10.0,dorn02,dorn,21.419
11.0,9.0,dorn13,dorn,11.186
11.0,9.0,dorn08,dorn,2456.398
11.0,10.0,dorn05,dorn,8.778
10.0,9.0,dorn13,dorn,9.773
11.0,10.0,dorn02,dorn,14.006
11.0,10.0,dorn02,dorn,14.348
10.0,10.0,dorn08,dorn,20.707
11.0,9.0,dorn12,dorn,9.123
10.0,10.0,dorn02,dorn,16.561
11.0,9.0,dorn13,dorn,18.569
10.0,8.0,dorn02,dorn,12.952
11.0,9.0,dorn05,dorn,6.253
10.0,9.0,dorn999,dorn,445.577
10.0,9.0,dorn11,dorn,485.127
10.0,9.0,dorn11,dorn,9.669
11.0,9.0,dorn12,dorn,13.249
10.0,10.0,dorn15,dorn,11.294
10.0,9.0,dorn13,dorn,19.831
10.0,9.0,dorn13,dorn,16.096
10.0,9.0,dorn05,dorn,5.986
10.0,9.0,dorn15,dorn,9.868
11.0,9.0,dorn13,dorn,13.7
10.0,9.0,dorn11,dorn,25.56
11.0,9.0,dorn05,dorn,6.107
10.0,9.0,dorn08,dorn,16.82
10.0,9.0,dorn13,dorn,37.003
10.0,9.0,dorn15,dorn,2949.41
11.0,9.0,dorn05,dorn,5.234
11.0,9.0,dorn05,dorn,6.207
10.0,9.0,dorn08,dorn,10.418
10.0,10.0,dorn11,dorn,23.754
10.0,8.0,dorn02,dorn,20.562
11.0,9.0,dorn12,dorn,922.992
10.0,9.0,dorn05,dorn,7.464
10.0,8.0,dorn11,dorn,22.356
10.0,8.0,dorn02,dorn,14.454
10.0,9.0,dorn05,dorn,6.191
10.0,9.0,dorn12,dorn,8.977
11.0,10.0,dorn02,dorn,15.205
9.0,9.0,dorn05,dorn,7.989
11.0,9.0,dorn13,dorn,2044.412
10.0,8.0,dorn02,dorn,16.641
11.0,9.0,dorn13,dorn,20.305
10.0,9.0,dorn15,dorn,710.691
10.0,10.0,dorn15,dorn,35.028
11.0,10.0,dorn15,dorn,11.326
11.0,11.0,dorn15,dorn,11.568
10.0,9.0,dorn12,dorn,7.687
